  700   700   700 0.021675 31.649205
  700   700   700 0.021748 31.543035
  700   700   700 0.021744 31.548914
  800   800   800 0.031871 32.129441
  800   800   800 0.032759 31.258632
  800   800   800 0.032332 31.671464
  800   800   800 0.032145 31.855631
  800   800   800 0.031954 32.046016
  800   800   800 0.031905 32.095347
  800   800   800 0.031905 32.095347
  800   800   800 0.032264 31.738166
  800   800   800 0.032296 31.706770
  800   800   800 0.032612 31.399632
  900   900   900 0.045448 32.080574
  900   900   900 0.044510 32.756767
  900   900   900 0.045159 32.285851
  900   900   900 0.045874 31.782627
  900   900   900 0.047569 30.650190
  900   900   900 0.048851 29.845850
  900   900   900 0.046712 31.212589
  900   900   900 0.044744 32.585364
  900   900   900 0.044452 32.799460
  900   900   900 0.044763 32.571479
 1000  1000  1000 0.060751 32.921290
 1000  1000  1000 0.060474 33.071978
 1000  1000  1000 0.060658 32.971755
 1000  1000  1000 0.060994 32.790159
 1000  1000  1000 0.060575 33.016917
 1000  1000  1000 0.060690 32.954398
 1000  1000  1000 0.061260 32.647739
 1000  1000  1000 0.060385 33.120814
 1000  1000  1000 0.060521 33.046442
 1000  1000  1000 0.061049 32.760578
 2000  2000  2000 0.476675 33.565861
 2000  2000  2000 0.481301 33.243226
 2000  2000  2000 0.480191 33.320075
 2000  2000  2000 0.478183 33.459991
 2000  2000  2000 0.482194 33.181669
 2000  2000  2000 0.481587 33.223476
 2000  2000  2000 0.480982 33.265274
 2000  2000  2000 0.478938 33.407256
 2000  2000  2000 0.477731 33.491652
 2000  2000  2000 0.480090 33.327091
 2500  2500  2500 0.936578 33.366147
 2500  2500  2500 0.930630 33.579396
 2500  2500  2500 0.941092 33.206105
 2500  2500  2500 0.937229 33.342966
 2500  2500  2500 0.934788 33.430040
 2500  2500  2500 0.947261 32.989857
 2500  2500  2500 0.938897 33.283740
 2500  2500  2500 0.946478 33.017147
 2500  2500  2500 0.944286 33.093783
 2500  2500  2500 0.945009 33.068468
 3000  3000  3000 1.615245 33.431459
 3000  3000  3000 1.631588 33.096591
 3000  3000  3000 1.619975 33.333846
 3000  3000  3000 1.621163 33.309423
 3000  3000  3000 1.616858 33.398109
 3000  3000  3000 1.662614 32.478974
 3000  3000  3000 1.611110 33.517265
 3000  3000  3000 1.628568 33.157966
 3000  3000  3000 1.608352 33.574741
 3000  3000  3000 1.629146 33.146199
 3500  3500  3500 2.571937 33.340629
 3500  3500  3500 2.578578 33.254763
 3500  3500  3500 2.590927 33.096264
 3500  3500  3500 2.596050 33.030951
 3500  3500  3500 2.569887 33.367227
 3500  3500  3500 2.594902 33.045563
 3500  3500  3500 2.567934 33.392605
 3500  3500  3500 2.618963 32.741967
 3500  3500  3500 2.567684 33.395852
 3500  3500  3500 2.566037 33.417290
 4000  4000  4000 4.124249 31.035954
 4000  4000  4000 3.815924 33.543646
 4000  4000  4000 3.813790 33.562416
 4000  4000  4000 3.810980 33.587161
 4000  4000  4000 3.947597 32.424789
 4000  4000  4000 3.859574 33.164281
 4000  4000  4000 3.854315 33.209532
 4000  4000  4000 3.809837 33.597237
 4000  4000  4000 3.830421 33.416693
 4000  4000  4000 3.825518 33.459522
 4500  4500  4500 5.489298 33.200966
 4500  4500  4500 5.584576 32.634528
 4500  4500  4500 5.447214 33.457469
 4500  4500  4500 5.458121 33.390612
 4500  4500  4500 5.456686 33.399393
 4500  4500  4500 5.489643 33.198880
 4500  4500  4500 5.488985 33.202860
 4500  4500  4500 5.478821 33.264457
 4500  4500  4500 5.484669 33.228988
 4500  4500  4500 5.520349 33.014217
 5000  5000  5000 7.536474 33.172011
 5000  5000  5000 7.526145 33.217537
 5000  5000  5000 7.521746 33.236964
 5000  5000  5000 7.524749 33.223699
 5000  5000  5000 7.534917 33.178866
 5000  5000  5000 7.485652 33.397225
 5000  5000  5000 7.491855 33.369572
 5000  5000  5000 7.546756 33.126816
 5000  5000  5000 7.503044 33.319809
 5000  5000  5000 7.491813 33.369760
